City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,enewetak,11.3474,162.3373,28.49,76,67,5.64,MH,1692378069
291,tyup,42.7276,78.3648,14.83,56,32,1.95,KG,1692378070
292,luganville,-15.5333,167.1667,23.99,91,97,4.33,VU,1692378070
293,edeleny,48.3,20.7333,26.62,59,39,2.38,HU,1692378071
294,ballina,-28.8667,153.5667,14.32,54,0,5.16,AU,1692378072
295,vorkuta,67.5,64.0,15.16,97,95,4.8,RU,1692378073
296,kolonia town,6.964,158.206,28.15,72,40,0.91,FM,1692378074
297,vredendal,-31.6683,18.5012,15.01,57,100,2.72,ZA,1692378075
298,porangatu,-13.4408,-49.1486,35.42,20,1,2.64,BR,1692377886
299,matoury,4.8483,-52.3317,32.98,55,20,3.6,GF,1692378076
300,elk city,35.412,-99.4043,28.12,69,0,0.0,US,1692377823
301,corner brook,48.9667,-57.9484,22.09,49,100,3.26,CA,1692377828
302,queenstown,-31.8976,26.8753,9.25,36,11,2.4,ZA,1692378078
303,akureyri,65.6835,-18.0878,15.96,59,20,4.12,IS,1692378079
304,puerto baquerizo moreno,-0.9,-89.6,27.55,65,75,6.69,EC,1692378079
305,sao felix do xingu,-6.6447,-51.995,39.07,19,55,1.41,BR,1692378080
306,limulunga,-15.0969,23.1376,24.54,17,0,2.26,ZM,1692378081
307,tazovsky,67.4667,78.7,8.58,78,0,2.69,RU,1692378082
308,bandar-e lengeh,26.5579,54.8807,34.06,70,20,5.14,IR,1692378082
309,bubaque,11.2833,-15.8333,27.54,81,84,7.31,GW,1692378084
310,rio grande,-32.035,-52.0986,18.06,93,100,0.02,BR,1692378032
311,mawu,29.5923,107.3139,23.51,90,78,1.13,CN,1692378085
312,lengshuitan,26.4111,111.5956,27.33,68,100,0.4,CN,1692378086
313,whitby,54.4877,-0.615,17.81,91,99,1.34,GB,1692377874
314,gadzhiyevo,69.2551,33.3362,11.1,74,99,5.0,RU,1692378087
315,sabha,27.0377,14.4283,37.11,16,0,5.6,LY,1692378088
316,miri,4.4148,114.0089,25.08,94,40,1.03,MY,1692378089
317,tozkhurmato,34.8905,44.6299,40.23,11,51,6.26,IQ,1692378090
318,pacific grove,36.6177,-121.9166,18.45,86,100,2.57,US,1692378092
319,key west,24.5557,-81.7826,32.78,69,100,4.12,US,1692377889
320,remire-montjoly,4.9167,-52.2667,33.02,55,20,3.6,GF,1692378095
321,ankara,39.9199,32.8543,34.51,17,0,4.59,TR,1692378056
322,penzance,50.1186,-5.5371,17.38,93,100,16.91,GB,1692378097
323,port shepstone,-30.7414,30.455,18.15,58,3,3.01,ZA,1692378097
324,paracuru,-3.41,-39.0306,27.28,54,5,7.94,BR,1692378098
325,fort stockton,30.894,-102.8793,36.2,19,0,6.3,US,1692378099
326,talakan,50.3167,130.3667,19.67,98,100,2.5,RU,1692378100
327,hammerfest,70.6634,23.6821,9.25,81,75,5.14,NO,1692378101
328,naze,28.3667,129.4833,24.51,88,68,2.17,JP,1692378102
329,likiep,9.8251,169.3107,28.11,77,62,6.21,MH,1692378103
330,weligama,5.9667,80.4167,26.63,83,100,4.65,LK,1692378104
331,palmas,-10.2128,-48.3603,33.93,29,20,2.57,BR,1692377808
332,crane,31.3974,-102.3501,36.05,19,0,5.14,US,1692378106
333,inarajan village,13.2736,144.7484,28.08,95,98,3.86,GU,1692378107
334,jutai,-5.1833,-68.9,36.66,36,4,1.24,BR,1692378107
335,goundam,16.4145,-3.6708,37.73,28,99,5.95,ML,1692378108
336,alta,69.9689,23.2717,11.59,77,75,4.12,NO,1692378109
337,gewane,10.1664,40.6453,34.96,28,3,3.01,ET,1692378110
338,sambhar,26.9167,75.2,31.35,50,76,3.68,IN,1692378110
339,mugia,43.1041,-9.2179,22.17,96,66,11.28,ES,1692378111
340,ulladulla,-35.35,150.4667,8.1,68,22,3.57,AU,1692378111
